user_id,item_description,date
1022,whole milk,2014-03-25
1022,whipped/sour cream,2014-03-25
1022,sausage,2014-07-06
1023,chicken,2014-05-17
1023,frozen meals,2014-05-17
1023,male cosmetics,2014-05-22
1023,curd,2014-05-22
1023,domestic eggs,2014-06-13
1023,soda,2014-06-13
1023,sausage,2014-12-30
1023,whipped/sour cream,2014-12-30
1025,coffee,2014-06-02
1025,shopping bags,2014-06-02
1025,ham,2014-10-03
1026,root vegetables,2014-06-18
1026,long life bakery product,2014-06-18
1026,sausage,2014-08-03
1026,dessert,2014-08-03
1026,rolls/buns,2014-08-03
1026,pickled vegetables,2014-08-03
1026,citrus fruit,2014-08-23
1027,softener,2014-05-14
1027,salt,2014-05-14
1027,whole milk,2014-05-14
1027,rolls/buns,2014-09-22
1028,rolls/buns,2014-04-24
1028,baking powder,2014-04-24
1028,onions,2014-04-24
1028,bottled water,2014-04-24
1028,rolls/buns,2014-05-04
1028,sugar,2014-05-04
1028,soda,2014-10-11
1031,ice cream,2014-04-03
1032,whipped/sour cream,2014-01-26
1032,newspapers,2014-01-26
1032,white bread,2014-09-23
1032,whole milk,2014-09-23
1032,pastry,2014-09-23
1033,frankfurter,2014-02-03
1033,pastry,2014-02-03
1033,fruit/vegetable juice,2014-04-18
1033,dessert,2014-04-18
1033,sausage,2014-04-21
1033,snack products,2014-04-21
1034,pip fruit,2014-02-24
1034,cling film/bags,2014-02-24
1034,yogurt,2014-02-24
1034,cat food,2014-02-24
1034,bottled water,2014-04-28
1034,domestic eggs,2014-04-28
1034,frozen meals,2014-04-28
1034,tropical fruit,2014-05-13
1035,whole milk,2014-06-25
1035,frozen vegetables,2014-06-25
1035,pip fruit,2014-08-15
1035,white wine,2014-08-15
1035,white bread,2014-08-15
1036,fruit/vegetable juice,2014-01-20
1037,tropical fruit,2014-02-24
1037,white bread,2014-02-24
1037,rolls/buns,2014-02-24
1037,citrus fruit,2014-06-06
1037,shopping bags,2014-06-06
1037,chewing gum,2014-06-06
1038,margarine,2014-01-28
1040,whole milk,2014-03-09
1040,pasta,2014-03-09
1040,rolls/buns,2014-03-09
1040,yogurt,2014-06-14
1040,rolls/buns,2014-06-14
1040,root vegetables,2014-10-24
1041,chicken,2014-06-13
1041,frozen vegetables,2014-06-13
1041,candy,2014-06-13
1041,tropical fruit,2014-06-29
1041,brown bread,2014-06-29
1041,whole milk,2014-06-29
1041,prosecco,2014-07-07
1043,tropical fruit,2014-03-14
1043,sliced cheese,2014-03-14
1043,napkins,2014-06-16
1043,whole milk,2014-06-16
1045,fruit/vegetable juice,2014-10-04
1045,specialty chocolate,2014-10-04
1045,Instant food products,2014-10-04
1045,root vegetables,2014-12-01
1045,yogurt,2014-12-01
1045,butter,2014-12-01
1047,pip fruit,2014-12-17
1049,specialty bar,2014-07-01
1049,margarine,2014-07-01
1049,butter,2015-01-07
1050,waffles,2014-02-15
1050,beverages,2014-02-15
1050,pasta,2014-05-30
1050,yogurt,2014-05-30
1050,cat food,2014-05-30
1050,house keeping products,2014-06-03
1050,yogurt,2014-06-03
1050,whipped/sour cream,2014-10-10
1050,hygiene articles,2014-10-10
1050,UHT-milk,2014-12-10
1051,hamburger meat,2014-01-13
1051,bottled beer,2014-01-13
1051,pork,2014-09-17
1051,coffee,2014-09-17
1051,frozen vegetables,2014-09-17
1051,shopping bags,2014-12-26
1052,root vegetables,2014-01-15
1052,grapes,2014-01-15
1052,chicken,2014-03-24
1052,beverages,2014-03-24
1052,coffee,2014-03-24
1052,beef,2014-04-01
1052,shopping bags,2014-04-01
1052,soda,2014-05-12
1052,hamburger meat,2014-05-12
1052,butter,2014-09-29
1052,dog food,2014-09-29
1052,soda,2014-10-13
1053,soda,2014-04-30
1053,soda,2014-04-30
1053,chicken,2014-05-11
1053,frozen vegetables,2014-05-11
1053,waffles,2014-05-16
1053,rolls/buns,2014-05-16
1053,whole milk,2014-05-23
1053,sugar,2014-05-23
1054,soda,2014-01-16
1055,pork,2014-05-08
1056,ham,2014-09-24
1057,salty snack,2014-05-03
1057,pickled vegetables,2014-05-03
1057,soda,2014-06-01
1057,domestic eggs,2014-06-01
1057,sliced cheese,2014-06-01
1057,soda,2014-06-01
1057,tropical fruit,2014-08-06
1058,chicken,2014-05-24
1058,other vegetables,2014-05-24
1058,yogurt,2014-07-08
1059,sausage,2014-06-14
1059,salty snack,2014-06-14
1059,cling film/bags,2014-06-14
1059,dessert,2014-11-06
1061,soda,2014-03-17
1061,fruit/vegetable juice,2014-03-17
1061,bottled beer,2014-03-17
1061,beef,2014-05-19
1061,chocolate,2014-05-19
1061,whipped/sour cream,2014-07-31
1061,hard cheese,2014-07-31
1061,beverages,2014-10-23
1062,whole milk,2014-01-26
1062,sauces,2014-01-26
1062,ham,2014-07-11
1062,whipped/sour cream,2014-07-11
1062,ketchup,2014-07-11
1062,white bread,2014-08-05
1063,whole milk,2014-07-06
1064,root vegetables,2014-03-09
1064,whole milk,2014-03-09
1064,cream cheese ,2014-04-21
1065,tropical fruit,2014-01-14
1065,whole milk,2014-01-14
1065,long life bakery product,2014-01-14
1065,rum,2014-01-14
1065,hamburger meat,2014-01-23
1065,soda,2014-01-23
1065,tropical fruit,2014-05-11
1065,rolls/buns,2014-05-11
1066,root vegetables,2014-01-02
1066,bottled beer,2014-01-02
1066,whole milk,2014-05-15
1066,other vegetables,2014-05-15
1066,oil,2014-12-06
1068,soda,2014-08-03
1068,yogurt,2014-08-03
1068,pork,2015-01-07
1069,pork,2014-01-20
1069,rolls/buns,2014-01-20
1069,brown bread,2014-05-20
1069,fruit/vegetable juice,2014-05-20
1069,salt,2014-12-18
1070,cream cheese ,2014-05-11
1070,newspapers,2014-05-11
1070,citrus fruit,2014-10-04
1071,yogurt,2014-09-26
1071,roll products ,2014-09-26
1072,ham,2014-06-23
1073,brown bread,2014-03-21
1073,salt,2014-03-21
1073,yogurt,2014-05-06
1073,bottled water,2014-05-06
1074,detergent,2014-01-29
1074,candy,2014-01-29
1074,semi-finished bread,2014-04-02
1074,ketchup,2014-04-02
1074,oil,2014-08-05
1075,UHT-milk,2014-06-19
1076,sausage,2014-12-24
1077,other vegetables,2014-07-10
1077,butter,2014-07-10
1077,pastry,2014-07-17
1077,pasta,2014-07-17
1077,canned beer,2014-08-30
1077,rolls/buns,2014-08-30
1077,artif. sweetener,2014-08-30
1077,soda,2014-08-30
1077,white bread,2014-09-29
1077,brown bread,2014-09-29
1078,chicken,2014-08-28
1079,red/blush wine,2014-07-10
1079,bottled water,2014-07-10
1080,canned beer,2014-02-11
1081,beverages,2014-11-02
1082,bottled water,2014-03-20
1082,hygiene articles,2014-03-20
1082,beef,2014-05-13
1082,margarine,2014-05-13
1083,specialty chocolate,2014-07-15
1083,soda,2014-07-15
1083,bathroom cleaner,2014-07-15
1083,hamburger meat,2014-11-15
1084,pip fruit,2014-04-18
1085,other vegetables,2014-04-24
1085,shopping bags,2014-04-24
1085,soda,2014-04-24
1085,yogurt,2014-05-25
1086,rolls/buns,2014-07-27
1086,soda,2014-07-27
1086,canned beer,2014-09-26
1086,herbs,2014-09-26
1086,margarine,2014-09-26
1086,ice cream,2014-10-12
1087,sausage,2014-02-26
1087,beverages,2014-02-26
1087,whole milk,2014-04-20
1087,whole milk,2014-04-20
1087,specialty chocolate,2014-06-19
1087,white bread,2014-06-19
1087,other vegetables,2014-07-25
1087,whole milk,2014-07-25
1087,ham,2014-10-13
1087,white bread,2014-10-13
1087,coffee,2014-11-12
1087,berries,2014-11-12
1088,yogurt,2015-01-14
1089,yogurt,2014-05-12
1092,yogurt,2014-10-12
1094,pasta,2014-07-24
1094,whole milk,2014-07-24
1094,waffles,2014-07-24
1094,newspapers,2014-08-18
1094,salty snack,2014-08-18
1094,chocolate marshmallow,2014-08-26
1094,other vegetables,2014-08-26
1094,whole milk,2014-11-03
1094,brown bread,2014-11-03
1094,hamburger meat,2014-11-12
1095,yogurt,2014-03-25
1095,shopping bags,2014-03-25
1095,pickled vegetables,2014-06-08
1097,shopping bags,2014-03-05
1097,root vegetables,2014-03-05
1097,sausage,2014-04-16
1097,whole milk,2014-04-16
1097,cake bar,2014-04-16
1097,hard cheese,2014-11-26
1097,whole milk,2014-11-26
1097,whipped/sour cream,2014-12-10
1097,curd,2014-12-10
1097,shopping bags,2014-12-10
1097,tropical fruit,2015-01-11
1097,whole milk,2015-01-11
1098,citrus fruit,2014-02-25
1098,dessert,2014-02-25
1098,tropical fruit,2014-07-19
1098,candy,2014-07-19
1098,rolls/buns,2015-01-19
1098,shopping bags,2015-01-19
1099,pip fruit,2014-07-18
1099,brown bread,2014-07-18
1099,root vegetables,2014-08-29
1100,hamburger meat,2014-02-20
1100,pasta,2014-02-20
1100,whole milk,2014-12-18
1101,whole milk,2014-07-09
1101,processed cheese,2014-07-09
1101,brown bread,2014-12-25
1101,sparkling wine,2014-12-25
1101,rolls/buns,2014-12-28
1101,other vegetables,2014-12-28
1102,root vegetables,2014-02-14
1102,frozen vegetables,2014-02-14
1102,candy,2014-04-13
1102,white wine,2014-04-13
1102,yogurt,2014-09-30
1102,beverages,2014-09-30
1103,chicken,2014-05-25
1103,pastry,2014-05-25
1103,candles,2014-05-25
1103,waffles,2014-07-28
1103,hygiene articles,2014-07-28
1103,tea,2014-07-28
1103,cream,2014-11-22
1103,yogurt,2014-11-22
1104,yogurt,2014-09-05
1105,other vegetables,2014-06-14
1107,beef,2014-05-15
1107,specialty fat,2014-05-15
1107,newspapers,2014-05-15
1107,onions,2014-06-14
1107,newspapers,2014-06-14
1107,rolls/buns,2014-07-22
1107,semi-finished bread,2014-07-22
1107,whole milk,2014-08-13
1107,pastry,2014-08-13
1107,shopping bags,2014-09-26
1107,rolls/buns,2014-09-26
1108,pastry,2014-05-22
1108,canned beer,2014-05-22
1108,whipped/sour cream,2014-05-22
1108,grapes,2014-05-22
1108,frozen potato products,2014-06-25
1108,specialty cheese,2014-06-25
1108,salty snack,2014-08-22
1108,pastry,2014-08-22
1109,chocolate,2014-06-19
1109,whole milk,2014-06-19
1109,curd,2014-10-14
1109,sugar,2014-10-14
1109,pip fruit,2014-10-31
1109,margarine,2014-10-31
1109,pip fruit,2014-11-22
1109,salty snack,2014-11-22
1110,margarine,2014-05-30
1110,yogurt,2014-05-30
1110,pickled vegetables,2014-09-22
1110,liquor,2014-09-22
1110,bottled water,2014-10-13
1110,chocolate,2014-10-13
1110,soda,2014-11-12
1111,whole milk,2014-03-03
1111,frozen vegetables,2014-03-03
1111,soda,2014-03-03
1111,UHT-milk,2014-03-03
1111,other vegetables,2014-07-05
1111,whipped/sour cream,2014-07-05
1111,bottled water,2014-10-24
1111,flour,2014-10-24
1113,curd,2014-02-02
1113,canned beer,2014-02-02
1113,whole milk,2014-07-01
1113,yogurt,2014-07-01
1114,root vegetables,2014-04-09
1114,shopping bags,2014-04-09
1114,chocolate,2014-04-25
1114,brown bread,2014-04-25
1114,salty snack,2014-04-25
1114,root vegetables,2014-12-14
1115,other vegetables,2014-03-08
1115,butter,2014-03-08
1115,turkey,2014-07-31
1115,root vegetables,2014-07-31
1115,whipped/sour cream,2014-09-15
1116,other vegetables,2014-06-03
1116,napkins,2014-06-03
1116,brown bread,2014-06-22
1116,butter milk,2014-06-22
1116,canned vegetables,2014-06-22
1116,soda,2014-06-22
1116,brown bread,2014-09-27
1116,soda,2014-09-27
1118,bottled beer,2014-02-03
1118,frozen vegetables,2014-02-03
1118,sliced cheese,2014-02-03
1118,pip fruit,2014-07-11
1118,processed cheese,2014-07-11
1118,canned beer,2014-07-11
1118,berries,2014-09-12
1120,tropical fruit,2014-08-21
1120,sugar,2014-08-21
1120,soda,2015-01-14
1120,UHT-milk,2015-01-14
1120,newspapers,2015-01-14
1121,coffee,2014-03-15
1122,chicken,2014-09-25
1123,rolls/buns,2014-09-08
1123,oil,2014-09-08
1123,yogurt,2014-09-08
1123,pip fruit,2014-12-28
1124,bottled beer,2014-05-03
1124,hygiene articles,2014-05-03
1124,yogurt,2014-08-23
1125,root vegetables,2014-05-30
1125,margarine,2014-05-30
1125,rolls/buns,2014-05-30
1125,rolls/buns,2014-09-12
1126,rolls/buns,2014-02-11
1127,citrus fruit,2014-05-04
1127,soda,2014-05-04
1127,soda,2014-06-02
1127,roll products ,2014-06-02
1127,frankfurter,2015-01-14
1127,rolls/buns,2015-01-14
1127,shopping bags,2015-01-14
1128,specialty bar,2014-03-27
1128,soda,2014-03-27
1128,frozen vegetables,2014-03-27
1128,frozen vegetables,2014-03-27
1128,liquor,2014-04-26
1128,domestic eggs,2014-04-26
1128,frankfurter,2014-10-05
1129,whole milk,2014-01-25
1129,baking powder,2014-01-25
1129,flower (seeds),2014-04-18
1129,white wine,2014-04-18
1129,grapes,2014-10-09
1129,frozen meals,2014-10-09
1129,flower (seeds),2014-10-09
1129,tea,2014-11-14
1129,yogurt,2014-11-14
1129,shopping bags,2014-11-14
1129,brown bread,2014-11-14
1130,margarine,2014-01-11
1130,soda,2014-01-11
1130,yogurt,2014-08-18
1130,softener,2014-08-18
1130,tropical fruit,2015-01-15
1130,cream cheese ,2015-01-15
1132,bottled beer,2014-11-22
1133,yogurt,2014-03-08
1133,pastry,2014-03-08
1133,coffee,2014-03-21
1133,shopping bags,2014-03-21
1134,cream cheese ,2014-02-18
1134,newspapers,2014-02-18
1134,other vegetables,2014-04-12
1134,oil,2014-04-12
1134,pastry,2014-11-05
1134,brown bread,2014-11-05
1136,citrus fruit,2014-02-05
1136,flower (seeds),2014-02-05
1136,rolls/buns,2014-04-06
1136,fruit/vegetable juice,2014-04-06
1136,instant coffee,2014-05-25
1136,shopping bags,2014-05-25
1136,root vegetables,2014-07-15
1136,butter milk,2014-07-15
1137,nut snack,2014-05-16
1138,citrus fruit,2014-07-07
1139,tropical fruit,2014-01-15
1139,soft cheese,2014-01-15
1139,rolls/buns,2014-02-02
1139,brown bread,2014-02-02
1139,canned beer,2014-02-02
1139,pork,2014-10-20
1139,pickled vegetables,2014-10-20
1139,tropical fruit,2015-01-19
1140,photo/film,2015-01-05
1140,frankfurter,2015-01-05
1140,other vegetables,2015-01-05
1140,curd,2015-01-05
1141,rolls/buns,2014-02-12
1141,whole milk,2014-02-12
1141,soda,2014-02-12
1141,tropical fruit,2014-08-04
1141,yogurt,2014-08-04
1141,cat food,2014-08-06
1141,rolls/buns,2014-08-06
1141,berries,2014-12-15
1142,newspapers,2014-05-22
1142,soups,2014-05-22
1142,rolls/buns,2014-10-12
1142,soda,2014-10-12
1142,other vegetables,2014-10-13
1143,UHT-milk,2014-07-14
1143,soda,2014-07-14
1143,pork,2014-11-14
1143,soda,2014-11-14
1143,oil,2014-11-18
1144,pork,2014-07-11
1144,domestic eggs,2014-07-11
1144,root vegetables,2014-08-04
1144,coffee,2014-08-04
1144,meat,2015-01-04
1144,whole milk,2015-01-04
1144,chicken,2015-01-16
1144,domestic eggs,2015-01-16
1145,brown bread,2014-05-06
1145,other vegetables,2014-05-06
1145,bottled beer,2014-09-13
1146,curd,2014-01-30
1146,soft cheese,2014-01-30
1146,frozen vegetables,2014-02-21
1146,pip fruit,2014-02-21
1146,root vegetables,2014-02-21
1146,cereals,2014-02-21
1146,other vegetables,2014-03-28
1146,berries,2014-03-28
1146,candy,2014-03-28
1146,sliced cheese,2014-03-28
1146,yogurt,2014-05-23
1146,soda,2014-05-23
1146,yogurt,2014-05-23
1147,soda,2014-01-05
1147,whole milk,2014-01-05
1147,frozen meals,2014-04-03
1147,detergent,2014-04-03
1147,specialty chocolate,2014-11-16
1148,soda,2014-01-11
1148,other vegetables,2014-01-11
1148,root vegetables,2014-01-31
1148,soda,2014-01-31
1148,long life bakery product,2014-01-31
1148,pork,2015-01-14
1150,long life bakery product,2014-06-09
1150,rolls/buns,2014-06-09
1150,UHT-milk,2014-06-09
1150,bottled water,2014-06-09
1150,pip fruit,2014-08-29
1151,curd,2014-12-12
1152,curd cheese,2014-12-26
1153,tropical fruit,2014-03-28
1153,rolls/buns,2014-03-28
1153,canned beer,2014-03-28
1153,dish cleaner,2014-03-28
1153,chicken,2014-08-19
1153,cake bar,2014-08-19
1153,chewing gum,2014-10-08
1153,whole milk,2014-10-08
1154,female sanitary products,2014-05-15
1155,whole milk,2015-01-04
1155,sausage,2015-01-04
1155,pet care,2015-01-04
1157,beef,2014-03-21
1157,curd,2014-03-21
1157,frozen meals,2014-03-21
1157,tropical fruit,2014-04-10
1157,UHT-milk,2014-04-10
1157,napkins,2014-04-10
1158,whole milk,2014-02-19
1159,citrus fruit,2014-01-28
1159,light bulbs,2014-01-28
1159,frozen vegetables,2014-06-02
1160,yogurt,2014-04-02
1160,whole milk,2014-04-02
1160,whole milk,2014-06-02
1161,beef,2014-01-26
1161,newspapers,2014-01-26
1162,white bread,2014-01-18
1162,yogurt,2014-01-18
1162,canned beer,2014-03-28
1162,berries,2014-03-28
1162,male cosmetics,2014-03-28
1162,fruit/vegetable juice,2014-03-28
1162,misc. beverages,2014-05-04
1162,coffee,2014-05-04
1163,white bread,2014-04-30
1163,frozen vegetables,2014-04-30
1163,sausage,2014-11-03
1164,other vegetables,2015-01-02
1165,beef,2014-01-04
1165,house keeping products,2014-01-04
1165,frozen vegetables,2014-02-05
1166,root vegetables,2014-02-17
1166,brown bread,2014-02-17
1166,bottled water,2014-03-06
1167,rolls/buns,2014-01-11
1168,sweet spreads,2014-10-31
1168,herbs,2014-10-31
1169,soda,2014-01-11
1169,detergent,2014-01-11
1169,other vegetables,2014-01-15
1169,rolls/buns,2014-01-15
1169,waffles,2014-01-25
1169,whole milk,2014-01-25
1169,other vegetables,2014-01-25
1169,white bread,2014-01-25
1169,soda,2014-02-05
1169,margarine,2014-02-05
1169,bottled water,2014-04-01
1169,liquor,2014-04-01
1169,napkins,2014-04-15
1169,napkins,2014-04-15
1169,napkins,2014-05-06
1169,cleaner,2014-05-06
1169,finished products,2014-05-29
1170,chocolate,2014-03-06
1170,shopping bags,2014-03-06
1170,whole milk,2014-05-22
1170,canned beer,2014-05-22
1170,pip fruit,2014-09-13
1170,whipped/sour cream,2014-09-13
1170,chicken,2015-01-12
1171,soda,2014-01-03
1171,whipped/sour cream,2014-01-03
1171,other vegetables,2014-04-08
1171,soda,2014-04-08
1171,brown bread,2014-04-09
1171,pasta,2014-04-09
1171,specialty chocolate,2015-01-15
1173,rolls/buns,2014-04-18
1173,margarine,2014-04-18
1173,specialty bar,2014-07-08
1174,citrus fruit,2014-07-26
1174,syrup,2014-07-26
1174,baking powder,2014-11-19
1174,pickled vegetables,2014-11-19
1174,root vegetables,2014-12-29
1175,hamburger meat,2014-02-01
1175,other vegetables,2014-02-01
1175,citrus fruit,2014-06-28
1175,brown bread,2014-06-28
1175,specialty chocolate,2014-06-28
1175,pasta,2014-09-20
1176,hard cheese,2014-04-08
1176,sugar,2014-04-08
1176,bottled water,2014-04-08
1176,soda,2014-04-09
1176,whole milk,2014-04-09
1176,tropical fruit,2014-09-05
1176,other vegetables,2014-09-05
1176,frozen potato products,2014-11-21
1178,tropical fruit,2014-06-15
1179,cereals,2014-08-06
1179,soda,2014-08-06
1179,chicken,2014-11-09
1179,frozen meals,2014-11-09
1180,frozen potato products,2014-02-02
1180,whole milk,2014-02-02
1180,citrus fruit,2014-08-24
1181,bottled beer,2014-07-13
1181,oil,2014-07-13
1181,whole milk,2014-07-13
1181,dishes,2014-07-13
1181,white bread,2014-10-23
1182,butter,2014-06-20
1182,mustard,2014-06-20
1182,rolls/buns,2014-09-30
1182,red/blush wine,2014-09-30
1182,candy,2014-11-16
1182,baking powder,2014-11-16
1182,canned fish,2014-11-16
1182,ice cream,2015-01-09
1182,hamburger meat,2015-01-09
1182,shopping bags,2015-01-09
1184,beef,2014-06-24
1184,whole milk,2014-06-24
1185,beef,2014-08-14
1185,whole milk,2014-08-14
1185,frozen meals,2014-08-14
1185,frankfurter,2014-09-27
1185,canned beer,2014-09-27
1185,ice cream,2014-09-28
1186,white bread,2014-03-23
1186,domestic eggs,2014-03-23
1186,soda,2014-04-17
1186,detergent,2014-04-17
1186,soda,2014-09-02
1187,soda,2014-08-06
1187,soda,2014-08-06
1187,citrus fruit,2014-09-11
1188,butter milk,2014-04-07
1188,cleaner,2014-04-07
1188,bottled water,2014-04-07
1188,other vegetables,2014-11-21
1189,tropical fruit,2014-02-23
1189,dessert,2014-02-23
1189,bottled beer,2014-04-07
1190,hamburger meat,2014-04-24
1190,bottled beer,2014-04-24
1190,pip fruit,2014-05-18
1190,rolls/buns,2014-05-18
1190,soda,2014-05-18
1190,bottled water,2014-06-21
1190,soda,2014-06-21
1190,whipped/sour cream,2014-10-09
1190,specialty chocolate,2014-10-09
1190,canned beer,2014-10-27
1190,root vegetables,2014-10-27
1191,berries,2014-10-03
1192,brown bread,2014-12-27
1193,soda,2014-02-16
1194,whole milk,2014-01-16
1194,bottled water,2014-01-16
1194,honey,2014-01-16
1194,pip fruit,2014-02-27
1195,butter,2014-08-14
1196,pip fruit,2014-01-20
1196,shopping bags,2014-01-20
1196,domestic eggs,2014-08-15
1197,whole milk,2014-03-05
1197,brown bread,2014-03-05
1197,pip fruit,2014-03-19
1197,waffles,2014-03-19
1197,beef,2014-12-05
1197,whipped/sour cream,2014-12-05
1197,sausage,2015-01-16
1198,citrus fruit,2014-03-22
1198,napkins,2014-03-22
1198,frozen fish,2014-07-29
1199,grapes,2014-03-23
1200,brown bread,2014-02-27
1201,candles,2014-10-24
1201,whole milk,2014-10-24
1201,misc. beverages,2014-11-24
1202,coffee,2014-04-21
1202,oil,2014-04-21
1202,yogurt,2014-07-29
1204,soda,2014-04-13
1204,beverages,2014-04-13
1204,root vegetables,2014-05-18
1204,yogurt,2014-05-18
1204,whole milk,2014-05-25
1204,waffles,2014-05-25
1204,rolls/buns,2014-06-23
1204,pastry,2014-06-23
1205,whole milk,2014-04-30
1205,oil,2014-04-30
1205,white bread,2014-12-08
1205,bottled water,2014-12-08
1205,ready soups,2014-12-08
1206,tropical fruit,2014-03-02
1206,hygiene articles,2014-03-02
1207,ham,2014-04-28
1207,pickled vegetables,2014-04-28
1207,shopping bags,2014-04-28
1207,whole milk,2014-09-12
1207,yogurt,2014-09-12
1208,soft cheese,2014-03-08
1208,bottled water,2014-03-08
1208,pork,2014-10-25
1208,beef,2014-10-25
1209,sausage,2014-01-11
1209,dessert,2014-01-11
1209,yogurt,2014-05-03
1209,shopping bags,2014-05-03
1209,ham,2014-08-26
1209,brown bread,2014-08-26
1209,fruit/vegetable juice,2014-11-11
1209,long life bakery product,2014-11-11
1211,butter,2014-09-11
1211,margarine,2014-09-11
1211,finished products,2014-12-12
1211,domestic eggs,2014-12-12
1211,specialty bar,2014-12-13
1212,tropical fruit,2014-03-06
1212,salt,2014-03-06
1212,beef,2014-05-25
1214,syrup,2014-08-07
1215,sauces,2014-04-28
1215,yogurt,2014-04-28
1215,grapes,2014-07-30
1215,root vegetables,2014-07-30
1215,shopping bags,2014-07-30
1215,pip fruit,2015-01-18
1215,other vegetables,2015-01-18
1215,semi-finished bread,2015-01-18
1216,citrus fruit,2014-07-02
1217,citrus fruit,2014-03-12
1217,grapes,2014-03-12
1217,bottled water,2014-03-12
1217,whole milk,2014-07-21
1218,meat,2014-05-28
1218,cling film/bags,2014-05-28
1218,curd,2014-05-28
1218,pork,2014-07-09
1218,frozen meals,2014-07-09
1218,citrus fruit,2014-08-05
1219,canned beer,2014-02-10
1219,brown bread,2014-02-10
1219,red/blush wine,2014-03-07
1220,sausage,2014-11-16
1220,pasta,2014-11-16
1220,canned beer,2015-01-01
1220,margarine,2015-01-01
1221,sugar,2014-11-15
1223,citrus fruit,2014-05-09
1223,butter,2014-05-09
1223,UHT-milk,2014-05-09
1223,packaged fruit/vegetables,2014-09-20
1223,flour,2014-09-20
1223,citrus fruit,2014-11-18
1223,semi-finished bread,2014-11-18
1224,UHT-milk,2014-08-31
1224,cooking chocolate,2014-08-31
1224,sausage,2014-09-20
1225,pastry,2014-02-09
1225,rolls/buns,2014-02-09
1225,whole milk,2014-03-03
1225,curd,2014-03-03
1225,white bread,2014-03-10
1225,jam,2014-03-10
1225,butter milk,2014-11-29
1225,soda,2014-11-29
1227,yogurt,2014-08-05
1229,beef,2014-03-09
1229,white bread,2014-03-09
1229,frozen potato products,2014-03-09
1229,mustard,2014-07-26
1230,canned beer,2014-03-16
1230,sliced cheese,2014-03-16
1230,soda,2014-12-17
1231,yogurt,2014-09-29
1231,margarine,2014-09-29
1231,hard cheese,2014-11-23
1232,pasta,2014-08-08
1232,canned beer,2014-08-08
1232,butter,2015-01-07
1232,grapes,2015-01-07
1233,UHT-milk,2014-07-04
1233,curd,2014-07-04
1233,other vegetables,2014-08-28
1233,rolls/buns,2014-08-28
1233,whipped/sour cream,2014-09-06
1234,root vegetables,2014-03-16
1234,margarine,2014-03-16
1234,bottled water,2014-03-16
1234,yogurt,2014-04-14
1234,shopping bags,2014-04-14
1234,coffee,2014-04-14
